id,symbol,name,current_price,market_cap,total_volume,market_cap_change_percentage_24h,ath,atl
iota,IOTA,IOTA,0.191704,576340067.0,21723052.0,6.77309,5.25,0.081637
sui,SUI,Sui,0.588509,569453338.0,191137432.0,5.68549,2.16,0.364846
gatechain-token,GT,Gate,4.18,569394578.0,1889602.0,-1.51284,12.94,0.25754
wemix-token,WEMIX,WEMIX,1.75,564974446.0,7987013.0,-5.03894,24.71,0.128398
trust-wallet-token,TWT,Trust Wallet,1.35,561212229.0,52364987.0,-0.43627,2.72,0.00277641
tokenize-xchange,TKX,Tokenize Xchange,6.94,557340551.0,12359427.0,0.91803,22.3,0.111255
curve-dao-token,CRV,Curve DAO,0.605453,550375810.0,151090989.0,0.47208,15.37,0.331577
illuvium,ILV,Illuvium,90.64,545235325.0,101086186.0,1.63759,1911.26,29.23
cheelee,CHEEL,Cheelee,10.14,544937424.0,4645269.0,3.44595,17.32,3.44
pepe,PEPE,Pepe,1.3e-06,544916486.0,165335360.0,-0.34474,4.31e-06,6e-08
apecoin,APE,ApeCoin,1.45,532752223.0,82048688.0,3.03643,26.7,1.008
frax-share,FXS,Frax Share,6.89,517040375.0,57113631.0,-3.19088,42.8,1.5
dydx,ETHDYDX,dYdX,2.84,510686720.0,290796196.0,4.92257,27.86,1.011
compound-ether,CETH,cETH,41.44,503300609.0,575.03,-3.95029,97.75,1.89
gmx,GMX,GMX,53.29,489775626.0,42959257.0,-0.13517,91.07,11.53
tether-gold,XAUT,Tether Gold,1938.48,477921061.0,9729944.0,-0.70614,2169.74,1447.84
terra-luna,LUNC,Terra Luna Classic,8.21e-05,477029861.0,311243553.0,10.69239,119.18,1e-06
klay-token,KLAY,Klaytn,0.146771,475533984.0,10642503.0,0.02584,4.34,0.06044
